                                    "Force Report"

Center of Pressure - Set Coordinate x = 0 (m)
Zone                      y               z              
blade0                    -1.3050078      3.0067561      
blade1                    1.550851        1.5913382      
blade10                   -0.075872891    4.9047197      
blade11                   -0.092640247    5.203377       
blade12                   -0.10761893     5.5023931      
blade13                   -0.12016699     5.8015328      
blade14                   -0.13101907     6.1010111      
blade15                   -0.14314073     6.4004878      
blade16                   -0.1514979      6.6999065      
blade17                   -0.15503259     6.9996323      
blade18                   -0.16096798     7.2990019      
blade19                   -0.16962258     7.5990394      
blade2                    0.4398095       2.4895133      
blade20                   -0.17555204     7.8989391      
blade21                   -0.17660061     8.1983585      
blade22                   -0.18045673     8.4981328      
blade23                   -0.18451455     8.7976505      
blade24                   -0.18540025     9.0967066      
blade25                   -0.18957894     9.3941683      
blade26                   -0.24244118     9.6852526      
blade27                   -6.0622992      9.9392446      
blade3                    0.19212885      2.8199948      
blade4                    0.14661096      3.1067356      
blade5                    0.075447054     3.4066953      
blade6                    0.020245566     3.7104583      
blade7                    -0.013267013    4.0091323      
blade8                    -0.037948737    4.3072454      
blade9                    -0.058453036    4.6057141      
------------------------- --------------- ---------------
Net                       -0.059281335    5.9279643      
